Scraping Time,Tweet ID,User ID,Movie ID,Rating,Retweet Count,Favorite Count,Time Zone
1391030896,307139025897152000,296041028,444778,8,0,0,Bangkok
1391030896,307139922186366000,239615275,1411238,6,0,0,Eastern Time (US & Canada)
1391030895,307142713369849000,36937267,1496422,7,0,0,Belgrade
1391030895,307143340607041000,45826125,118799,5,0,0,Budapest
1391030894,307144290214215000,45826125,338013,4,0,0,Budapest
1391030894,307144402382491000,27662592,1003052,8,0,0,Prague
1391030893,307144992542031000,45826125,64665,8,0,0,Budapest
1391030893,307145230707220000,206144706,884328,7,0,0,Riyadh
1391030892,307145590041624000,114473716,1559547,9,0,0,Taipei
1391030891,307149804595716000,124670134,949731,5,0,0,Unknown
1391030891,307149937139908000,124670134,319343,6,0,0,Unknown
1391030890,307150268510904000,124670134,1068680,7,0,0,Unknown
1391030890,307152964391403000,22834058,376994,8,0,0,London
1391030889,307153482236973000,24044753,1568338,2,0,0,Stockholm
1391030889,307153658368380000,39813152,1853728,8,0,0,Unknown
1391030888,307154009968476000,15370931,1127715,7,0,0,Istanbul
1391030888,307154442715811000,448041545,1790885,8,0,0,Lisbon
1391030887,307155419799891000,239615275,889573,5,0,0,Eastern Time (US & Canada)
1391030887,307155607608250000,22546290,1954843,5,0,0,Eastern Time (US & Canada)
1391030886,307157333623074000,45824240,265086,10,0,1,London
1391030886,307157538938433000,45824240,1757746,5,0,0,London
1391030885,307158338959966000,242822990,338216,6,0,0,Quito
1391030885,307160352234299000,15835543,1371111,6,0,0,London
1391030884,307161101903220000,44121195,1648179,6,0,0,Sri Jayawardenepura
1391030884,307161191640350000,44121195,1853728,9,0,0,Sri Jayawardenepura
1391030883,307161833658253000,73131297,1351685,8,0,0,Bangkok
1391030883,307163118960791000,21503156,1045658,7,0,0,Hong Kong
1391030882,307163573107449000,190537636,99685,8,0,0,Riyadh
1391030882,307164501004931000,110872248,67989,8,0,0,Central Time (US & Canada)
1391030881,307164617065496000,261313160,1707386,10,0,0,Pacific Time (US & Canada)
1391030881,307166288101400000,292853430,1606378,6,0,0,Riyadh
1391030880,307168428807049000,299939146,970179,4,0,0,Quito
1391030880,307168574932406000,299939146,1345836,8,0,0,Quito
1391030007,307168593764835000,586871840,373283,5,0,0,Bucharest
1391030006,307168648706019000,299939146,372784,9,0,0,Quito
1391030006,307168966101573000,299939146,468569,10,0,0,Quito
1391030002,307176162784866000,882758059,1428538,7,0,0,Unknown
1391030001,307176426724012000,131361665,91670,6,0,0,Brasilia
1391030000,307176662087376000,70054697,454876,8,0,0,Riyadh
1391030000,307176976333037000,116963229,80736,7,0,0,Eastern Time (US & Canada)
1391029999,307177109225357000,70054697,120731,9,0,0,Riyadh
1391029999,307177480521924000,116963229,87182,6,0,0,Eastern Time (US & Canada)
1391029998,307178697134329000,38995736,114857,7,0,0,Eastern Time (US & Canada)
1391029997,307181213561536000,430152300,938330,10,0,0,Unknown
1391029996,307182417100304000,39797265,1333125,3,0,0,Amsterdam
1391029996,307183939930427000,86718304,1316536,9,0,0,Jakarta
1391029995,307184472133095000,620953,1492959,5,0,0,Eastern Time (US & Canada)
1391029995,307184743038988000,620953,83624,6,0,0,Eastern Time (US & Canada)
1391029994,307187683254476000,86731400,1606378,2,0,0,La Paz
1391029994,307188368565997000,92577061,313542,7,0,0,London
1391029993,307189105186455000,221804185,825232,8,0,0,Riyadh
1391029993,307189182374223000,944321664,1922777,6,0,1,Unknown
1391029992,307189358467883000,121377261,1922777,6,0,0,Athens
1391029992,307189541150806000,190537636,1667310,7,0,0,Riyadh
1391029991,307190279713210000,71518616,1565958,7,0,0,Amsterdam
1391029991,307191025963765000,219635355,1308729,10,0,0,Helsinki
1391029990,307193072624754000,24820997,499549,8,0,0,Brasilia
1391029989,307193080904294000,15164173,1772341,10,0,0,Alaska
1391029989,307193449113866000,24820997,432283,7,0,0,Brasilia
1391029988,307193795974426000,24820997,875034,7,0,0,Brasilia
1391029988,307194071464701000,24820997,887912,7,0,0,Brasilia
1391029987,307194249273819000,24820997,1054606,8,0,0,Brasilia
1391029987,307194475330015000,24820997,1055369,7,0,0,Brasilia
1391029986,307195084682719000,24820997,397892,9,0,0,Brasilia
1391029986,307195692743528000,50321871,1486192,5,0,0,Baku
1391029985,307196382085787000,80917504,1549920,8,0,0,Lisbon
1391029985,307196595189997000,249246669,1568338,7,0,0,Quito
1391029984,307197529995481000,24820997,1010048,10,0,0,Brasilia
1391029984,307197817800249000,24820997,468569,8,0,0,Brasilia
1391029983,307198151255793000,24820997,493464,8,0,0,Brasilia
1391029983,307198549911818000,24820997,467406,7,0,0,Brasilia
1391029982,307198763531894000,45824240,145660,10,0,1,London
1391029982,307198879986757000,523481263,1853728,9,0,1,Amsterdam
1391029981,307199514232639000,24820997,449088,8,0,0,Brasilia
